Hora,Modo_Operacao,PV_L1_kW,PV_L2_kW,PV_L3_kW,PV_Global_kW,Load_L1_kW,Load_L2_kW,Load_L3_kW,Load_Global_kW,Grid_Import_L1_kW,Grid_Import_L2_kW,Grid_Import_L3_kW,Grid_Import_Global_kW,Grid_Export_L1_kW,Grid_Export_L2_kW,Grid_Export_L3_kW,Grid_Export_Global_kW,Opt_BESS_kW,Setpoint_BESS_Global_kW,SOC_BESS_%,Energy_BESS_kWh,Fase_EV1,Alpha_EV1,Opt_EV1_kW,Setpoint_EV1_kW,SOC_EV1_%,Energy_EV1_kWh
1,IDLE,0.02,0.02,0.02,0.06,0.955,1.061,1.168,3.184,0.935,1.042,1.148,3.125,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
2,IDLE,0.018,0.018,0.018,0.055,0.884,0.982,1.08,2.945,0.865,0.963,1.062,2.89,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
3,IDLE,0.013,0.013,0.013,0.038,0.956,1.062,1.168,3.186,0.943,1.049,1.156,3.148,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
4,IDLE,0.002,0.002,0.002,0.005,1.062,1.18,1.298,3.539,1.06,1.178,1.296,3.534,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,12.5,5.0
5,IDLE,0.0,0.0,0.0,0.001,0.986,1.095,1.205,3.285,0.985,1.095,1.204,3.284,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,0.0,0.0,12.5,5.0
6,IDLE,0.03,0.03,0.03,0.091,1.096,1.217,1.339,3.652,1.065,1.187,1.309,3.561,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,0.0,0.0,12.5,5.0
7,IDLE,0.182,0.182,0.182,0.546,1.006,1.118,1.23,3.354,0.824,0.936,1.048,2.808,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,0.0,0.0,12.5,5.0
8,ARB (Charge),0.511,0.511,0.511,1.533,1.27,1.411,1.552,4.234,6.859,0.9,1.041,8.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,6.141,6.1,26.53,10.612
9,ARB (Charge),1.066,1.066,1.066,3.199,2.075,2.306,2.537,6.918,6.809,1.24,1.47,9.519,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,5.891,5.8,39.87,15.948
10,ARB (Charge),1.949,1.949,1.949,5.847,3.467,3.852,4.238,11.557,6.818,1.903,2.289,11.01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,5.382,5.3,52.06,20.824
11,ARB (Discharge),3.075,3.075,3.075,9.225,3.669,4.077,4.485,12.231,6.894,1.002,1.41,9.306,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,1,-2.395,6.3,66.55,26.62
12,ARB (Discharge),4.057,4.057,4.057,12.17,3.58,3.978,4.375,11.933,6.823,0.0,0.319,7.142,0.0,0.079,0.0,0.079,0.0,0.0,100.0,0.0,L1,1,-6.423,7.3,83.34,33.336
13,IDLE,4.718,4.718,4.718,14.155,3.315,3.683,4.052,11.05,0.0,0.0,0.0,0.0,1.403,1.035,0.667,3.105,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
14,IDLE,5.002,5.002,5.002,15.007,2.828,3.143,3.457,9.428,0.0,0.0,0.0,0.0,2.174,1.86,1.545,5.579,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
15,ARB (Charge),4.735,4.735,4.735,14.205,3.093,3.437,3.781,10.311,0.0,0.0,0.0,0.0,1.642,1.298,0.954,3.894,0.0,0.0,100.0,0.0,L1,0,6.9,0.0,83.34,33.336
16,ARB (Charge),4.238,4.238,4.238,12.714,3.374,3.748,4.123,11.245,0.0,0.0,0.0,0.0,0.864,0.49,0.115,1.469,0.0,0.0,100.0,0.0,L1,0,6.9,0.0,83.34,33.336
17,ARB (Charge),3.285,3.285,3.285,9.856,2.638,2.931,3.224,8.793,0.0,0.0,0.0,0.0,0.648,0.355,0.061,1.064,0.0,0.0,100.0,0.0,L1,0,6.9,0.0,83.34,33.336
18,ARB (Charge),2.096,2.096,2.096,6.287,1.83,2.033,2.237,6.1,0.0,0.0,0.141,0.141,0.266,0.062,0.0,0.328,0.0,0.0,100.0,0.0,L1,0,6.9,0.0,83.34,33.336
19,IDLE,0.89,0.89,0.89,2.67,1.313,1.459,1.605,4.377,0.423,0.569,0.715,1.708,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
20,IDLE,0.182,0.182,0.182,0.546,1.088,1.209,1.33,3.628,0.906,1.027,1.148,3.082,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
21,IDLE,0.02,0.02,0.02,0.059,1.123,1.247,1.372,3.742,1.103,1.228,1.352,3.683,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
22,IDLE,0.019,0.019,0.019,0.056,1.109,1.232,1.355,3.696,1.09,1.213,1.336,3.64,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
23,IDLE,0.021,0.021,0.021,0.063,1.153,1.281,1.41,3.844,1.132,1.26,1.389,3.781,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
24,IDLE,0.022,0.022,0.022,0.065,1.09,1.211,1.332,3.632,1.068,1.189,1.31,3.567,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
